Priority,Business Name,Category,City,Phone,Google Rating,Reviews,Contact Name,Date Contacted,Channel,Response,Next Step,Next Touch Date,Status
70,Venetian Nail Spa,Nail Salon,Hendersonville,(615) 824-3525,,,,,,,,,New
71,Angel Nails & Spa,Nail Salon,Greeneville,(423) 588-5669,,,,,,,,,New
72,AN Nails,Nail Salon,Greeneville,(423) 636-8880,,,,,,,,,New
73,Q Nails,Nail Salon,Greeneville,(423) 638-4200,,,,,,,,,New
74,Happy Nails & Spa,Nail Salon,Cookeville,,4.4,500,,,,,,,New
75,Happy Nails,Nail Salon,Jackson,,,,,,,,,,New
76,Glossy Nails,Nail Salon,Jackson,,,,,,,,,,New
77,Nail Bar,Nail Salon,Memphis,,,179,,,,,,,New
78,Spa Nail,Nail Salon,Memphis,,,,,,,,,,New
79,OP Nails,Nail Salon,Johnson City,,,59,,,,,,,New
80,54th Nail Lounge,Nail Salon,Knoxville,,,,,,,,,,New
81,Zen Nail Spa,Nail Salon,Chattanooga,,,,,,,,,,New
82,Cha Nails & Spa,Nail Salon,Chattanooga,,,,,,,,,,New
83,The Nail & Face Space,Nail Salon,Chattanooga,,,,,,,,,,New
84,BMT Nails,Nail Salon,Hendersonville,,,,,,,,,,New
85,BB Nails Spa,Nail Salon,Gallatin,,,,,,,,,,New
86,Diva Nails Spa,Nail Salon,Sevierville,,,,,,,,,,New
87,Noire The Nail Bar,Nail Salon,Pigeon Forge,,,,,,,,,,New
88,LV Nail Bar,Nail Salon,Murfreesboro,,,,,,,,,,New
89,Noire The Nail Bar Murfreesboro,Nail Salon,Murfreesboro,,,,,,,,,,New
90,Alcenia's,Restaurant,Memphis,(901) 523-0200,,,,,,,,,New
91,Emmy's Restaurant,Restaurant,Shelbyville,,4.6,,,,,,,,New
92,The Seafood Place,Restaurant,Tullahoma,,4.5,,,,,,,,New
93,BBQ at 1820 Tiny Town Rd,Restaurant,Clarksville,,4.4,389,,,,,,,New
94,The Four Way Restaurant,Restaurant,Memphis,,,,,,,,,,New
95,JJ's Soul Food & Grill,Restaurant,Memphis,,,,,,,,,,New
96,Memphis Finest BBQ & Soul Food,Restaurant,Memphis,,,,,,,,,,New
97,Nick & J's Cafe,Restaurant,Knoxville,,,,,,,,,,New
98,Dean's Restaurant & Bakery,Restaurant,Oak Ridge,,,,,,,,,,New
99,Hole In The Wall Cafe,Restaurant,Oak Ridge,,,,,,,,,,New
100,Off Road Diner and Dogs,Restaurant,Oak Ridge,,,,,,,,,,New
