Business Name,Category,City,State,Address,Phone,Google Rating,Review Count,Website Status,Notes
Beverly's of Nashville Barbershop,Barbershop,Nashville,TN,1003 Gallatin Ave Nashville TN 37206,(615) 592-4162,,,Unverified,Local neighborhood barbershop
Scout's Barbershop,Barbershop,Nashville,TN,1203 16th Ave S Nashville TN 37212,(615) 321-1200,,,Unverified,Music Row area local shop
East Nails & Spa,Nail Salon,Nashville,TN,604 Gallatin Ave Unit 108 Nashville TN 37206,(615) 835-2612,4.7,146,Unverified,Highly rated local nail salon
South Nail Bar,Nail Salon,Nashville,TN,1614 21st Ave S Nashville TN 37212,(615) 997-9787,4.7,318,Unverified,Vanderbilt area popular nail salon
The Nail Spot,Nail Salon,Nashville,TN,211 Donelson Pike #104 Nashville TN 37214,(615) 573-2143,4.8,147,No website found,Donelson area highly rated
Eastside Nails,Nail Salon,Nashville,TN,1006 Fatherland St Ste 306-a Nashville TN 37206,(615) 988-0449,4.5,79,No website found,East Nashville local salon
Capital Nail Bar Nashville,Nail Salon,Nashville,TN,1204 2nd Ave N Nashville TN 37208,(615) 430-3933,4.4,379,Unverified,North Nashville 379 reviews
Breaker Barber Company,Barbershop,Johnson City,TN,4411 N Roan St Ste 10 Johnson City TN 37615,(423) 900-0232,4.8,95,Unverified,Top-rated Tri-Cities shop
JC Male,Barbershop,Johnson City,TN,1735 W State of Franklin Rd #7 Johnson City TN 37604,(423) 328-7695,4.7,169,Unverified,169 Google reviews highly rated
OP Nails,Nail Salon,Johnson City,TN,1914 N Roan St Johnson City TN,,,59,Unverified,91 photos on Yelp
The Barbers Loft,Barbershop,Kingsport,TN,968 Lynn Garden Dr Kingsport TN 37665,(423) 245-4961,4.6,134,No website found,134 reviews local favorite
Wampler's Barber Co,Barbershop,Kingsport,TN,4128 Fort Henry Dr E Kingsport TN 37663,(423) 406-1662,4.9,265,Unverified,Top-rated 265 Google reviews
Barbershop at 739 N Eastman Rd,Barbershop,Kingsport,TN,739 N Eastman Rd Kingsport TN 37664,,,4.9,31,No website found,Very highly rated local shop
Barbershop at 119 Broad St,Barbershop,Kingsport,TN,119 Broad St Kingsport TN 37660,(423) 765-1750,4.8,140,No website found,Downtown Kingsport
BlueCollar BarberShop,Barbershop,Kingsport,TN,Kingsport TN,,,,No website found,Facebook only presence
Gambuzza's Barbershop,Barbershop,Knoxville,TN,304 S Northshore Dr Knoxville TN 37919,(865) 588-4001,4.6,440,Unverified,440 reviews long-established
Rooster's Haircuts,Barbershop,Knoxville,TN,11679 Parkside Dr Knoxville TN 37934,(865) 288-7272,4.6,195,Unverified,Farragut area popular
Pike Barbershop,Barbershop,Knoxville,TN,4602 Kingston Pike Knoxville TN 37919,(865) 588-8840,,,Unverified,Kingston Pike local shop
E.D. Bailey Barbers,Barbershop,Knoxville,TN,Knoxville TN,,4.8,166,No website found,#1 ranked Knoxville area barbershop
Dennis Hall's Auto Service,Auto Repair,Knoxville,TN,221 Sherway Rd Knoxville TN,(865) 690-1151,,,"Unverified","Five-star auto repair since 1997"
All Terrain Auto Care,Auto Repair,Knoxville,TN,Knoxville TN,,,,Unverified,#1 independent Jeep repair East TN
Nick & J's Cafe,Restaurant,Knoxville,TN,1526 Lovell Rd Knoxville TN 37932,,,,"Unverified","Family-owned diner fresh ground beef local eggs"
Nail Bakery & Spa,Nail Salon,Knoxville,TN,115 Lovell Rd Knoxville TN 37934,(865) 288-3100,,52,Unverified,Clean peaceful atmosphere top-rated
54th Nail Lounge,Nail Salon,Knoxville,TN,4812 Kingston Pike Knoxville TN 37919,,,,Unverified,2500+ gel colors 1500 dip colors
Happy Nails & Spa,Nail Salon,Cookeville,TN,433 S Jefferson Ave Cookeville TN 38501,,4.4,500,Unverified,Nearly 500 Google reviews
Doc's Auto & Tire Center,Auto Repair,Cookeville,TN,233 W Broad St Cookeville TN 38501,(931) 526-7547,,14,Unverified,Tires tune-ups brakes oil changes 4-wheel alignment
Village Barber Shop,Barbershop,Cookeville,TN,Cookeville TN 38501,,,,No website found,Listed on Yellow Pages without website
Faded Barber Co.,Barbershop,Chattanooga,TN,1463 Market St #106 Chattanooga TN,,4.6,46,No website found,Downtown Chattanooga 46 reviews
In The Kut Barbershop,Barbershop,Chattanooga,TN,6940 Lee Hwy Suite 101 Chattanooga TN,(423) 457-6253,,,No website found,Facebook only - local neighborhood shop
Zen Nail Spa,Nail Salon,Chattanooga,TN,2040 Hamilton Pl Blvd Ste 130 Chattanooga TN 37421,,,,Has Website,Award-winning - zennailspa.com
Blush Nail and Spa,Nail Salon,Chattanooga,TN,26 E Main St Suite 106 Chattanooga TN 37408,(423) 602-5400,,,Has Website,Downtown Chattanooga
Cha Nails & Spa,Nail Salon,Chattanooga,TN,313 Manufacturers Rd Ste 117 Chattanooga TN 37405,,,,Unverified,North Shore area
The Nail & Face Space,Nail Salon,Chattanooga,TN,6940 Lee Hwy Ste 102 Chattanooga TN 37421,,,,Unverified,East Ridge area
The Dapper Den Barbershop,Barbershop,Clarksville,TN,Clarksville TN,,,,"No website found","Gold winner Clarksville Best 2025"
Eagle Cuts,Barbershop,Clarksville,TN,3095 Fort Campbell Blvd Ste D Clarksville TN 37042,,,,Unverified,Serving Fort Campbell area 20+ years
Mona Lisa's Barbershop,Barbershop,Clarksville,TN,Clarksville TN,,,,"No website found","Serving Clarksville and Fort Campbell since 2014"
BBQ at 1820 Tiny Town Rd,Restaurant,Clarksville,TN,1820 Tiny Town Rd Ste A Clarksville TN,,4.4,389,Unverified,389 reviews local BBQ spot
Venetian Nail Spa,Nail Salon,Hendersonville,TN,300 Indian Lake Blvd Hendersonville TN 37075,(615) 824-3525,,,Unverified,Indian Lake area
BMT Nails,Nail Salon,Hendersonville,TN,Hendersonville TN,,,,"No website found","Amazing nail salon clean and elegant"
BB Nails Spa,Nail Salon,Gallatin,TN,Gallatin TN,,,,"No website found","Manicures pedicures nail art waxing"
Public Square Barbers,Barbershop,Gallatin,TN,Public Square Unit A Gallatin TN,,,,"No website found","Best barber shop in Gallatin per Google reviews"
Shop Hands Barbershop,Barbershop,Hendersonville,TN,779 W Main St Hendersonville TN 37075,(615) 338-7800,,,Unverified,Unique car-theme barbershop
Hendersonville Barbers,Barbershop,Hendersonville,TN,699 W Main St Suite 204 Hendersonville TN 37075,(615) 348-8199,,,Unverified,Men women children welcome
Tyler's Barbershop,Barbershop,Elizabethton,TN,415 TN-362 Elizabethton TN 37643,,4.7,85,No website found,85 verified Google reviews
Whitson Barber Shop,Barbershop,Elizabethton,TN,1782 W Elk Ave Elizabethton TN,(423) 543-6217,4.8,40,No website found,4.8 Google / 5.0 Facebook
The Barber Shop at Essence,Barbershop,Elizabethton,TN,1000 W G St #101 Elizabethton TN,(423) 393-7795,,,No website found,Facebook only presence
Angel Nails & Spa,Nail Salon,Greeneville,TN,1513 E Andrew Johnson Hwy Greeneville TN 37745,(423) 588-5669,,,"Unverified","Mon-Sat 9am-7pm"
AN Nails,Nail Salon,Greeneville,TN,2055 E Andrew Johnson Hwy Greeneville TN 37745,(423) 636-8880,,,Unverified,Local nail salon
Q Nails,Nail Salon,Greeneville,TN,1319 Tusculum Blvd Greeneville TN 37745,(423) 638-4200,,,Unverified,Tusculum area
Express Lane Oil,Auto Repair,Morristown,TN,501 E Morris Blvd Morristown TN 37813,(423) 295-7657,4.9,76,No website found,76 verified reviews 4.9 stars
Precision Automotive,Auto Repair,Morristown,TN,5307 W Andrew Johnson Hwy Morristown TN,,5.0,18,No website found,5-star rating 18 reviews
Elite Automotive & Performance,Auto Repair,Morristown,TN,Morristown TN,,4.9,85,No website found,85 verified reviews 4.9 stars
Noah McGinnis Barber,Barbershop,Sevierville,TN,105 Bruce St Sevierville TN 37862,(678) 468-4681,,,No website found,Independent barber in Sevierville
Operation Barber Company,Barbershop,Sevierville,TN,Downtown Sevierville TN,,,,"No website found","Great haircuts and beard trims downtown"
Blades Barbershop,Barbershop,Pigeon Forge,TN,Wears Valley Rd Pigeon Forge TN,,,,"No website found","Off Wears Valley behind Advanced Auto"
Diva Nails Spa,Nail Salon,Sevierville,TN,Sevierville TN 37876,,,,No website found,Local nail spa Sevier County
Noire The Nail Bar,Nail Salon,Pigeon Forge,TN,Pigeon Forge TN,,,,"Unverified","Facebook presence serving Pigeon Forge"
Zeus Barber Shop,Barbershop,Cleveland,TN,141 Stuart Rd NE Cleveland TN 37312,(423) 371-9307,4.6,66,No website found,66 Google reviews local shop
Bourbon and Blades,Barbershop,Cleveland,TN,2020 N Ocoee St Cleveland TN 37311,(423) 790-7650,4.8,255,Unverified,255 reviews top-rated Cleveland
The Fade Co Barber,Barbershop,Cleveland,TN,220 1st St NE Cleveland TN 37311,(423) 464-5112,4.8,33,No website found,Downtown Cleveland 33 reviews
Powerhouse Fades And Shaves,Barbershop,Oak Ridge,TN,129 Robertsville Rd Oak Ridge TN 37830,,,,"No website found","Best of the Best 2025 Google Reviews"
Dean's Restaurant & Bakery,Restaurant,Oak Ridge,TN,Oak Ridge TN,,,,"Unverified","Southern comfort food locally owned Appalachian recipes"
Hole In The Wall Cafe,Restaurant,Oak Ridge,TN,Oak Ridge TN,,,,"No website found","Listed among best Oak Ridge restaurants"
Off Road Diner and Dogs,Restaurant,Oak Ridge,TN,Oak Ridge TN,,,,"No website found","Top-rated local diner"
The Seafood Place,Restaurant,Tullahoma,TN,Tullahoma TN,,4.5,,"Unverified","#13 of 60 restaurants in Tullahoma"
Emmy's Restaurant,Restaurant,Shelbyville,TN,Shelbyville TN,,4.6,,"No website found","#1 of 54 restaurants in Shelbyville homemade local ingredients"
The Wildwood Reserve Barbershop,Barbershop,Murfreesboro,TN,Murfreesboro TN,,,,Unverified,Top barbershop Murfreesboro area
University Barbershop & Salon,Barbershop,Murfreesboro,TN,Murfreesboro TN,,,,"No website found","Facebook only presence MTSU area"
LV Nail Bar,Nail Salon,Murfreesboro,TN,2108 Medical Center Pkwy Suite B Murfreesboro TN 37129,,,,Unverified,Medical Center area salon
Noire The Nail Bar Murfreesboro,Nail Salon,Murfreesboro,TN,Murfreesboro TN,,,,"Unverified","Top Murfreesboro nail salon"
Tennessee Barber Co.,Barbershop,Franklin,TN,Franklin TN,(615) 660-4499,,,Unverified,Clean cuts community-focused
The Bashful Barber,Barbershop,Franklin,TN,Franklin TN,,,,Unverified,High-end tailored cuts men's grooming
Quintana's Barber & Dream Spa,Barbershop/Spa,Cleveland,TN,Cleveland TN,,,,Unverified,Barbershop and nail spa combined
S&S Auto Repair,Auto Repair,Chattanooga,TN,Chattanooga TN (3 locations),,,,"Unverified","ASE certified 3 Chattanooga locations 36/36k warranty"
Blackwell Automotive,Auto Repair,Chattanooga,TN,Chattanooga TN (near Atlanta/Knoxville split),,,,"Unverified","Family-owned since 2004 28 bays"
Practical Ideas Autoworks,Auto Repair,Kingsport,TN,Kingsport TN,,,,"No website found","Top-rated Kingsport auto repair"
Bills Automotive,Auto Repair,Kingsport,TN,Kingsport TN,,,,"No website found","Highly rated local Kingsport mechanic"
First Lady Day Spa,Day Spa,Kingsport,TN,Kingsport TN,,,,"Unverified","Award-winning day spa 1500 sq ft 5 treatment rooms"
